#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A189D7
#Date Time: 2025-04-28 09:56:42.755
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 10.7 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.0001565503448275862,0.4703692332959016,-10.58931216805738
0.0001571803448275862,0.4697048111002496,-10.63691018194381
0.0001578103448275862,0.4700370221980756,-10.66986265309596
0.0001584403448275862,0.4700370221980756,-10.68816958151382
0.0001590703448275862,0.4700370221980756,-10.68816958151382
0.0001597003448275862,0.4697048111002496,-10.68084681014668
0.0001603303448275862,0.4703692332959016,-10.65521711036167
0.0001609603448275862,0.4697048111002496,-10.60761909647524
0.0001615903448275862,0.4647216446328598,-10.54903692553809
0.0001622203448275862,0.4680437556111197,-10.50510029733522
0.0001628503448275862,0.4653860668285117,-10.45017951208164
0.0001634803448275862,0.4673793334154677,-10.40258149819521
0.0001641103448275862,0.4627283780459038,-10.33667655589091
0.0001647403448275862,0.4607351114589479,-10.2854171563209
0.0001653703448275862,0.4607351114589479,-10.23415775675089
0.0001660003448275862,0.4613995336545998,-10.18289835718089
0.0001666303448275862,0.4623961669480778,-10.13530034329445
0.0001672603448275862,0.4617317447524258,-10.08404094372444
0.0001678903448275862,0.4617317447524258,-10.04010431552158
0.0001685203448275862,0.4607351114589479,-9.992506301635141
0.0001691503448275862,0.4613995336545998,-9.944908287748705
0.0001697803448275862,0.4613995336545998,-9.893648888178697
0.0001704103448275862,0.4613995336545998,-9.853373645659405
0.0001710403448275862,0.4620639558502518,-9.80943701745654
0.0001716703448275862,0.4650538557306858,-9.776484546304392
0.0001723003448275862,0.4730269220785096,-9.893648888178697
0.0001729303448275862,0.4730269220785096,-10.03278154415443
